City,State,Country,Latitude,Longitude,AQI (US),Main (US),AQI (CN),Main (CN),Timestamp,Temperature,Pressure,Humidity,Wind Speed,Wind Direction,Weather Icon,,
Yangon,Yangon,Myanmar,16.80528,96.15611,65,p2,27,p2,03:50.8,31,1010,55,1.03,30,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,69,p2,30,p2,03:51.1,31,1010,55,1.03,340,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,76,p2,34,p2,03:51.6,31,1010,55,4.12,340,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,82,p2,38,p2,03:51.9,29,1011,62,3.6,270,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,152,p2,79,p2,03:52.2,26,1012,69,4.12,290,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,161,p2,100,p2,03:52.6,26,1013,69,2.06,10,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,160,p2,96,p2,03:52.9,25,1013,78,3.6,270,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,158,p2,93,p2,03:53.2,24,1013,73,2.57,280,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,153,p2,79,p2,03:53.6,24,1013,73,1.54,250,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,154,p2,83,p2,03:53.9,23,1013,83,2.06,240,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,152,p2,79,p2,03:54.2,23,1013,83,1.03,260,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,156,p2,89,p2,03:54.5,22,1012,83,1.03,280,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,156,p2,87,p2,03:54.9,22,1012,88,0,0,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,169,p2,119,p2,03:58.2,21,1012,94,1.03,320,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,177,p2,138,p2,03:58.5,21,1012,94,0,0,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,157,p2,90,p2,03:58.8,21,1013,94,1.03,330,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,157,p2,90,p2,03:59.1,21,1013,94,1.03,350,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,144,p2,73,p2,03:59.5,22,1014,88,3.09,300,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,106,p2,53,p2,03:59.8,24,1015,50,4.12,250,03d,Min,56
Yangon,Yangon,Myanmar,16.80528,96.15611,105,p2,53,p2,04:00.1,26,1015,61,2.57,30,03d,Max,187
Yangon,Yangon,Myanmar,16.80528,96.15611,97,p2,48,p2,04:00.4,30,1013,40,2.43,5,02d,Average,125.6061856
Yangon,Yangon,Myanmar,16.80528,96.15611,88,p2,43,p2,04:00.8,29,1013,58,3.6,330,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,79,p2,36,p2,04:01.1,30,1012,51,4.12,310,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,76,p2,35,p2,04:01.5,30,1011,51,3.09,30,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,73,p2,33,p2,04:01.9,31,1010,55,4.12,340,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,73,p2,32,p2,04:02.2,31,1010,55,5.14,350,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,81,p2,38,p2,04:02.5,31,1011,55,4.12,330,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,113,p2,57,p2,04:02.8,29,1012,58,2.57,340,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,152,p2,78,p2,04:03.2,28,1012,70,1.54,350,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,153,p2,82,p2,04:03.5,27,1013,74,1.54,300,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,154,p2,84,p2,04:03.8,25,1014,78,2.06,320,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,135,p2,68,p2,04:04.2,25,1014,78,1.03,20,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,109,p2,55,p2,04:04.5,24,1014,83,0.51,20,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,105,p2,53,p2,04:04.8,24,1014,83,0.51,320,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,105,p2,53,p2,04:05.1,24,1014,83,1.03,310,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,123,p2,62,p2,04:05.5,24,1013,83,1.03,360,02n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,126,p2,63,p2,04:05.8,23,1012,83,1.03,320,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,168,p2,118,p2,04:08.4,23,1012,83,1.03,340,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,170,p2,122,p2,04:08.8,23,1012,83,1.03,330,03n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,182,p2,151,p2,04:09.1,22,1013,88,1.03,330,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,181,p2,148,p2,04:09.5,22,1014,88,1.54,320,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,171,p2,125,p2,04:10.2,23,1015,83,1.03,350,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,123,p2,62,p2,04:10.6,24,1015,73,2.06,30,03d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,68,p2,29,p2,04:10.9,26,1016,69,3.09,50,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,68,p2,29,p2,04:11.3,28,1015,70,3.09,70,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,63,p2,26,p2,04:11.6,30,1014,55,3.6,70,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,61,p2,24,p2,04:11.9,30,1013,55,3.6,50,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,61,p2,24,p2,04:12.3,30,1012,55,2.57,40,02d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,62,p2,25,p2,04:12.6,31,1011,55,3.6,350,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,62,p2,25,p2,04:13.0,31,1011,55,3.6,320,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,68,p2,29,p2,04:13.3,30,1010,58,3.6,340,01d,,
Yangon,Yangon,Myanmar,16.80528,96.15611,133,p2,67,p2,04:13.6,28,1011,65,1.54,330,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,164,p2,108,p2,04:14.0,28,1012,65,1.03,320,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,162,p2,101,p2,04:14.3,27,1013,69,1.54,310,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,156,p2,88,p2,04:14.6,26,1013,78,1.54,320,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,138,p2,69,p2,04:14.9,25,1013,78,2.06,40,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,122,p2,61,p2,04:15.3,25,1013,78,1.03,20,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,135,p2,68,p2,04:15.6,24,1013,83,1.03,30,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,140,p2,70,p2,04:15.9,24,1012,83,1.03,60,01n,,
Yangon,Yangon,Myanmar,16.80528,96.15611,130,p2,66,p2,04:16.3,24,1012,83,1.03,310,01n,,
